0,'Chocolate','Cake',8.95,'Food'
1,'Lemon','Cake',8.95,'Food'
2,'Casino','Cake',15.95,'Food'
3,'Opera','Cake',15.95,'Food'
4,'Strawberry','Cake',11.95,'Food'
5,'Truffle','Cake',15.95,'Food'
6,'Chocolate','Eclair',3.25,'Food'
7,'Coffee','Eclair',3.5,'Food'
8,'Vanilla','Eclair',3.25,'Food'
9,'Napoleon','Cake',13.49,'Food'
10,'Almond','Tart',3.75,'Food'
11,'Apple','Pie',5.25,'Food'
12,'Apple','Tart',3.25,'Food'
13,'Apricot','Tart',3.25,'Food'
14,'Berry','Tart',3.25,'Food'
15,'Blackberry','Tart',3.25,'Food'
16,'Blueberry','Tart',3.25,'Food'
17,'Chocolate','Tart',3.75,'Food'
18,'Cherry','Tart',3.25,'Food'
19,'Lemon','Tart',3.25,'Food'
20,'Pecan','Tart',3.75,'Food'
21,'Ganache','Cookie',1.15,'Food'
22,'Gongolais','Cookie',1.15,'Food'
23,'Raspberry','Cookie',1.09,'Food'
24,'Lemon','Cookie',0.79,'Food'
25,'Chocolate','Meringue',1.25,'Food'
26,'Vanilla','Meringue',1.15,'Food'
27,'Marzipan','Cookie',1.25,'Food'
28,'Tuile','Cookie',1.25,'Food'
29,'Walnut','Cookie',0.79,'Food'
30,'Almond','Croissant',1.45,'Food'
31,'Apple','Croissant',1.45,'Food'
32,'Apricot','Croissant',1.45,'Food'
33,'Cheese','Croissant',1.75,'Food'
34,'Chocolate','Croissant',1.75,'Food'
35,'Apricot','Danish',1.15,'Food'
36,'Apple','Danish',1.15,'Food'
37,'Almond','Twist',1.15,'Food'
38,'Almond','Bear Claw',1.95,'Food'
39,'Blueberry','Danish',1.15,'Food'
40,'Lemon','Lemonade',3.25,'Drink'
41,'Raspberry','Lemonade',3.25,'Drink'
42,'Orange','Juice',2.75,'Drink'
43,'Green','Tea',1.85,'Drink'
44,'Bottled','Water',1.80,'Drink'
45,'Hot','Coffee',2.15,'Drink'
46,'Chocolate','Coffee',2.45,'Drink'
47,'Vanilla','Frappuccino',3.85,'Drink'
48,'Cherry','Soda',1.29,'Drink'
49,'Single','Espresso',1.85,'Drink'
