1,4,1
1,2,19
2,5,42
2,5,5
2,5,44
2,2,35
3,4,28
3,4,27
3,2,32
3,1,10
3,4,17
3,2,31
3,4,26
4,3,22
4,3,18
4,3,27
4,4,46
4,2,5
4,5,2
5,3,23
5,5,24
5,3,40
5,2,41
5,4,43
6,2,4
6,5,9
6,4,44
7,4,17
7,5,47
7,1,44
7,4,13
8,3,4
8,4,45
9,5,22
9,3,5
9,1,15
10,1,17
10,4,47
10,5,29
11,3,48
11,4,9
11,3,37
11,3,27
12,4,1
12,5,35
12,3,17
12,3,46
13,3,4
13,5,22
13,1,25
14,3,18
14,1,17
14,2,28
14,2,47
15,2,28
15,4,27
15,5,12
16,2,16
16,4,32
16,3,45
17,2,17
17,5,7
17,3,11
17,2,40
18,3,39
18,1,15
19,5,49
20,4,36
20,5,21
20,5,20
20,3,35
21,4,6
21,4,43
21,3,35
21,3,9
21,1,13
22,1,0
22,2,46
22,4,2
22,1,32
23,4,18
23,5,35
23,2,3
24,1,46
24,1,30
24,5,27
25,5,17
25,3,47
26,3,35
26,5,38
27,5,22
27,2,5
27,2,46
28,1,8
28,1,0
28,4,42
29,3,0
29,3,46
29,3,4
30,2,4
30,1,49
30,2,16
31,5,4
31,2,36
31,5,11
32,2,22
32,4,0
32,4,37
33,4,28
33,1,27
33,2,20
34,1,42
34,3,33
34,4,35
34,5,43
35,5,28
35,1,27
35,3,39
35,3,41
36,5,18
36,3,35
37,3,49
37,4,44
37,1,31
38,1,8
38,5,12
38,3,2
39,4,42
39,2,33
39,5,12
40,3,28
40,1,27
40,2,24
40,2,44
41,1,14
41,1,41
41,1,28
41,3,42
41,4,4
42,4,7
42,5,15
42,4,49
42,4,33
42,2,40
43,3,16
43,3,32
43,2,45
43,1,23
44,2,29
44,2,19
44,5,16
45,5,28
45,2,27
45,1,10
46,1,22
46,2,5
46,1,24
47,3,12
47,4,21
47,2,39
47,5,25
48,2,4
48,5,9
48,5,46
49,5,11
49,5,45
49,5,27
49,3,2
50,2,23
50,2,17
50,3,29
50,5,42
51,1,7
51,1,11
51,1,37
51,1,45
52,2,14
52,2,44
53,3,42
53,2,33
53,1,9
53,2,30
53,3,19
54,1,16
54,2,32
54,1,21
54,2,13
54,3,39
55,1,7
55,2,11
55,5,37
55,3,45
55,4,44
56,5,17
56,1,47
56,3,29
56,4,11
56,1,45
57,1,7
57,1,11
57,5,37
57,2,45
58,2,14
58,5,44
58,5,4
58,3,30
58,1,27
58,4,49
58,2,43
59,4,3
59,5,10
59,4,17
59,2,29
59,2,6
59,1,37
59,3,39
60,3,16
60,4,32
60,1,45
61,2,18
61,4,35
61,5,3
62,5,1
62,2,19
62,5,26
62,2,27
63,1,18
63,3,27
63,1,5
64,4,0
64,2,42
64,1,14
65,1,35
65,4,1
65,4,31
